%, jaw1 [mN], jaw2 [mN], time [ms], gripForce [mN]
DATA,0.1136,0.0607,50897,0.1743
DATA,0.1679,-0.0595,50922,0.1085
DATA,0.1391,-0.0583,50947,0.0808
DATA,0.1590,-0.0610,50971,0.0980
DATA,0.0331,0.1468,50996,0.1799
DATA,0.0376,-0.0768,51020,-0.0393
DATA,0.1629,0.0652,51045,0.2281
DATA,0.1108,-0.0936,51070,0.0173
DATA,0.2128,-0.1481,51094,0.0647
DATA,0.0481,0.1065,51119,0.1546
DATA,0.2417,-0.0581,51156,0.1837
DATA,0.1411,-0.0577,51180,0.0834
DATA,0.1500,0.0506,51205,0.2006
DATA,0.2154,0.1525,51229,0.3678
DATA,0.0957,-0.1407,51254,-0.0450
DATA,0.0808,-0.0369,51279,0.0438
DATA,0.2068,0.0834,51303,0.2902
DATA,0.0988,-0.0071,51328,0.0917
DATA,0.1262,0.0322,51352,0.1584
DATA,0.0615,-0.0066,51377,0.0548
DATA,0.0864,0.0586,51402,0.1450
DATA,0.2166,0.0303,51426,0.2468
DATA,0.0480,0.0043,51451,0.0523
DATA,0.2820,0.0554,51475,0.3374
DATA,0.2585,0.0263,51512,0.2848
DATA,0.2873,0.0485,51537,0.3358
DATA,0.2329,0.0661,51561,0.2990
DATA,0.1809,-0.0397,51586,0.1412
DATA,0.2779,0.0901,51611,0.3680
DATA,0.2255,-0.0507,51635,0.1748
DATA,0.2472,-0.0596,51660,0.1876
DATA,0.2466,-0.0947,51684,0.1520
DATA,0.1537,-0.0283,51709,0.1254
DATA,0.1732,0.0659,51734,0.2391
DATA,0.1167,0.0995,51758,0.2162
DATA,0.2166,0.0194,51783,0.2359
DATA,0.2131,-0.1041,51807,0.1090
DATA,0.1518,0.1832,51832,0.3350
DATA,0.2388,0.1032,51869,0.3420
DATA,0.0231,-0.6213,51893,-0.5982
DATA,-0.0362,-0.4896,51918,-0.5258
DATA,0.2941,-0.3190,51943,-0.0249
DATA,0.4451,-0.0913,51967,0.3539
DATA,0.3528,-0.7108,51992,-0.3580
DATA,-0.3244,-0.9207,52016,-1.2451
DATA,-0.6387,-0.7217,52041,-1.3604
DATA,-0.4514,-1.0443,52066,-1.4957
DATA,-0.2066,-0.7536,52090,-0.9601
DATA,0.0755,-0.2277,52115,-0.1523
DATA,0.2799,-0.4393,52139,-0.1594
DATA,0.7313,0.5075,52164,1.2388
DATA,1.0734,1.0967,52201,2.1701
DATA,1.1700,1.1398,52225,2.3099
DATA,1.2035,0.9529,52250,2.1564
DATA,1.6099,1.2514,52275,2.8612
DATA,1.6732,1.9875,52299,3.6607
DATA,1.8800,2.5474,52324,4.4275
DATA,1.5885,1.5058,52348,3.0944
DATA,1.3808,1.0183,52373,2.3991
DATA,1.5600,1.6652,52397,3.2252
DATA,2.1815,2.4108,52422,4.5923
DATA,2.0527,1.8498,52447,3.9025
DATA,1.4248,1.2818,52471,2.7067
DATA,1.7487,2.0598,52496,3.8085
DATA,2.1387,2.9093,52520,5.0480
DATA,2.1561,1.6337,52557,3.7898
DATA,1.6647,2.2057,52582,3.8705
DATA,2.5039,2.7173,52607,5.2212
DATA,2.1426,2.3338,52631,4.4764
DATA,1.7070,2.3697,52656,4.0767
DATA,2.0474,3.0792,52680,5.1265
DATA,2.4784,2.9686,52705,5.4470
DATA,2.0398,2.3881,52729,4.4279
DATA,2.2922,2.9823,52754,5.2745
DATA,3.1694,4.3660,52779,7.5354
DATA,3.2643,4.0848,52803,7.3491
DATA,2.6420,3.2047,52828,5.8467
DATA,2.0972,2.8018,52852,4.8990
DATA,2.2701,2.4794,52889,4.7495
DATA,2.4738,2.1867,52914,4.6605
DATA,2.3966,2.2537,52938,4.6504
DATA,2.1648,1.7542,52963,3.9189
DATA,1.6320,2.0443,52988,3.6763
DATA,2.0674,3.1414,53012,5.2088
DATA,2.6777,2.9050,53037,5.5827
DATA,2.3274,2.3132,53061,4.6406
DATA,1.9497,2.2413,53086,4.1909
DATA,2.3071,2.2446,53111,4.5517
DATA,2.0134,1.9334,53135,3.9467
DATA,1.8179,1.8769,53160,3.6948
DATA,1.9725,1.8193,53184,3.7919
DATA,1.7162,1.5880,53209,3.3042
DATA,1.9523,2.0339,53246,3.9862
DATA,2.1871,1.9168,53270,4.1039
DATA,1.7069,1.8502,53295,3.5571
DATA,2.1655,1.9756,53320,4.1411
DATA,1.8261,1.7279,53344,3.5540
DATA,1.7292,1.4890,53369,3.2182
DATA,1.6993,1.6887,53393,3.3881
DATA,1.9206,1.6705,53418,3.5911
DATA,1.7492,1.6055,53443,3.3547
DATA,1.8171,1.4170,53467,3.2341
DATA,1.7959,1.6603,53492,3.4561
DATA,1.7104,1.8679,53516,3.5784
DATA,1.5354,1.7159,53541,3.2514
DATA,1.1053,1.3491,53566,2.4543
DATA,1.1248,1.4697,53602,2.5945
DATA,0.8422,1.3714,53627,2.2136
DATA,0.7454,1.4613,53652,2.2067
DATA,0.6312,1.3351,53676,1.9663
DATA,0.6959,1.3794,53701,2.0753
DATA,0.5662,1.4631,53725,2.0292
DATA,0.9917,1.9571,53750,2.9488
DATA,1.0678,1.9902,53775,3.0580
DATA,1.2067,1.9879,53799,3.1946
DATA,1.3149,1.9225,53824,3.2375
DATA,1.4897,1.5849,53848,3.0746
DATA,1.4579,1.4437,53873,2.9017
DATA,1.6149,1.8781,53897,3.4930
DATA,2.0214,1.5836,53934,3.6050
DATA,1.3410,0.1221,53959,1.4631
DATA,1.2465,1.5026,53984,2.7492
DATA,1.3037,1.2996,54008,2.6034
DATA,1.3969,2.2032,54033,3.6001
DATA,1.5640,2.4957,54057,4.0597
DATA,1.2220,2.3418,54082,3.5638
DATA,1.1097,2.2403,54107,3.3500
DATA,1.2887,2.2399,54131,3.5286
DATA,0.9562,1.9809,54156,2.9371
DATA,0.5899,1.3266,54180,1.9165
DATA,0.2507,1.5210,54205,1.7717
DATA,0.3530,2.0676,54229,2.4207
DATA,0.4303,2.1190,54254,2.5493
DATA,0.2766,2.4908,54291,2.7674
DATA,0.3792,2.4965,54316,2.8757
DATA,0.5302,2.2141,54340,2.7442
DATA,0.7591,1.8781,54365,2.6372
DATA,0.6557,1.9708,54389,2.6266
DATA,0.6224,2.1588,54414,2.7813
DATA,0.9865,2.3088,54438,3.2953
DATA,1.2959,2.0976,54463,3.3935
DATA,1.5105,1.8851,54488,3.3956
DATA,2.0202,1.9907,54512,4.0109
DATA,2.7869,1.9214,54537,4.7084
DATA,3.0429,1.9623,54561,5.0052
DATA,3.4281,1.9566,54586,5.3847
DATA,3.4622,1.8903,54611,5.3525
DATA,3.5256,2.1661,54648,5.6916
DATA,3.4463,2.0744,54672,5.5207
DATA,3.7025,2.2327,54697,5.9351
DATA,3.8439,2.2276,54721,6.0714
DATA,3.8265,2.1297,54746,5.9562
DATA,3.7850,1.9959,54770,5.7809
DATA,3.8640,1.8082,54795,5.6722
DATA,3.7738,1.8131,54820,5.5868
DATA,5.7824,1.9624,54844,7.7448
DATA,8.6682,1.9111,54869,10.5793
DATA,10.2142,1.9379,54893,12.1522
DATA,11.5529,1.9406,54918,13.4935
DATA,11.9173,1.8561,54943,13.7734
DATA,10.8612,1.8164,54979,12.6776
DATA,8.5309,2.0588,55004,10.5897
DATA,8.1011,1.9454,55029,10.0465
DATA,12.5137,1.7486,55053,14.2623
DATA,15.9125,1.7829,55078,17.6954
DATA,17.3063,3.0065,55102,20.3128
DATA,18.4389,4.5006,55127,22.9395
DATA,20.4993,5.3112,55152,25.8105
DATA,21.5987,8.0816,55176,29.6804
DATA,24.3779,13.4628,55201,37.8407
DATA,28.5046,19.3182,55225,47.8228
DATA,31.7363,22.4646,55250,54.2010
DATA,35.2484,27.6602,55275,62.9085
DATA,40.9611,36.6984,55299,77.6595
DATA,48.9955,42.6808,55336,91.6763
DATA,57.2020,45.9035,55361,103.1055
DATA,65.9459,45.7196,55385,111.6655
DATA,73.3743,45.2452,55410,118.6195
DATA,78.5229,47.4089,55434,125.9319
DATA,81.1810,50.1786,55459,131.3596
DATA,84.0427,49.1119,55484,133.1546
DATA,85.3809,50.3327,55508,135.7136
DATA,83.8292,53.0986,55533,136.9278
DATA,82.7837,52.7063,55557,135.4900
DATA,83.9642,45.9683,55582,129.9325
DATA,82.2267,41.0828,55607,123.3095
DATA,77.2747,38.9949,55631,116.2696
DATA,67.3631,31.4653,55656,98.8284
DATA,56.9299,16.8420,55693,73.7719
DATA,45.0226,5.7806,55717,50.8032
DATA,28.7405,2.0487,55742,30.7892
DATA,10.2402,1.6120,55766,11.8522
DATA,6.5317,1.5826,55791,8.1142
DATA,6.8003,1.9116,55816,8.7119
DATA,6.7812,1.8983,55840,8.6795
DATA,6.8686,2.0760,55865,8.9446
DATA,6.9650,2.1008,55889,9.0658
DATA,6.9255,2.0132,55914,8.9387
DATA,6.7774,1.9556,55939,8.7329
DATA,6.8453,1.8560,55963,8.7013
DATA,6.8084,1.9752,55988,8.7836
DATA,6.6756,1.9114,56025,8.5870
DATA,6.4560,1.9001,56049,8.3561
DATA,6.5136,1.9777,56074,8.4913
DATA,6.6302,1.9089,56098,8.5391
DATA,6.5609,1.9146,56123,8.4755
DATA,6.4435,1.9370,56148,8.3805
DATA,6.3250,2.0921,56172,8.4171
DATA,6.3353,1.8870,56197,8.2223
DATA,9.2291,6.0692,56221,15.2982
DATA,13.3764,6.1774,56246,19.5538
DATA,14.5861,5.4995,56271,20.0856
DATA,16.0853,5.9244,56295,22.0097
DATA,19.0279,7.4254,56320,26.4533
DATA,22.2196,9.5001,56344,31.7197
DATA,25.1405,13.8789,56381,39.0195
DATA,28.8554,18.8146,56406,47.6700
DATA,30.8997,24.5927,56430,55.4924
DATA,33.9719,27.5848,56455,61.5567
DATA,37.3758,27.1719,56480,64.5478
DATA,40.9771,27.4129,56504,68.3900
DATA,43.0943,28.1790,56529,71.2733
DATA,43.1132,29.2146,56553,72.3278
DATA,42.2873,30.5217,56578,72.8091
DATA,41.6256,30.3417,56602,71.9673
DATA,41.4901,29.4759,56627,70.9660
DATA,40.5519,30.1232,56652,70.6751
DATA,40.6385,32.2353,56676,72.8738
DATA,41.8052,31.1726,56701,72.9778
DATA,42.7509,30.4399,56738,73.1908
DATA,42.5712,34.0877,56762,76.6589
DATA,41.9632,35.4313,56787,77.3945
DATA,42.4646,31.7699,56812,74.2345
DATA,43.3901,28.0383,56836,71.4284
DATA,40.6957,28.2854,56861,68.9811
DATA,34.4918,24.8718,56885,59.3636
DATA,25.7690,20.9578,56910,46.7269
DATA,17.6802,16.2704,56934,33.9506
DATA,13.2900,11.1321,56959,24.4220
DATA,9.8814,6.4590,56984,16.3404
DATA,7.3947,2.7331,57008,10.1277
DATA,7.0570,1.7065,57033,8.7634
DATA,6.9894,1.7559,57070,8.7453
DATA,6.9190,2.0784,57094,8.9974
DATA,6.8285,1.8798,57119,8.7082
DATA,6.7789,1.8446,57143,8.6236
DATA,6.7925,1.7077,57168,8.5002
DATA,6.7976,1.8704,57193,8.6680
DATA,6.8106,1.8532,57217,8.6637
DATA,6.8027,2.0061,57242,8.8088
DATA,6.7078,1.8931,57266,8.6009
DATA,6.8318,1.9367,57291,8.7684
DATA,6.6408,1.7496,57316,8.3904
DATA,6.6490,1.7103,57340,8.3593
DATA,6.4676,1.7379,57365,8.2055
DATA,6.5358,1.8807,57389,8.4165
DATA,6.5429,1.9032,57426,8.4461
DATA,6.6556,1.6093,57451,8.2649
DATA,6.6040,1.6484,57475,8.2524
DATA,6.5611,1.7991,57500,8.3602
DATA,6.4763,1.7713,57525,8.2476
DATA,6.6040,1.8858,57549,8.4898
DATA,6.6313,1.7980,57574,8.4293
DATA,6.4710,1.8243,57598,8.2952
DATA,6.5431,1.8387,57623,8.3819
DATA,6.4688,1.7631,57648,8.2319
DATA,6.5945,1.8032,57672,8.3977
DATA,6.5683,2.0182,57697,8.5866
DATA,6.5563,1.8076,57721,8.3640
DATA,6.5708,1.7952,57746,8.3660
DATA,6.6060,1.6908,57783,8.2968
DATA,6.6553,1.7943,57807,8.4496
DATA,11.1822,2.1122,57832,13.2944
DATA,14.9799,3.2447,57857,18.2246
DATA,16.5078,3.6960,57881,20.2038
DATA,18.1469,4.1679,57906,22.3147
DATA,20.6397,6.4778,57930,27.1175
DATA,23.2699,11.5651,57955,34.8350
DATA,28.3775,17.4722,57980,45.8497
DATA,33.6999,23.6972,58004,57.3971
DATA,35.4857,28.4863,58029,63.9720
DATA,37.4431,34.3389,58053,71.7821
DATA,37.6217,39.5761,58078,77.1979
DATA,39.2822,43.9893,58115,83.2715
DATA,42.6077,44.1791,58139,86.7867
DATA,48.3474,41.4002,58164,89.7476
DATA,54.3613,44.9146,58189,99.2759
DATA,57.0831,48.3993,58213,105.4824
DATA,60.1515,48.5603,58238,108.7117
DATA,61.3759,50.5402,58262,111.9161
DATA,61.2772,50.1657,58287,111.4428
DATA,60.9076,48.7770,58312,109.6845
DATA,59.3990,49.4426,58336,108.8416
DATA,57.8819,50.7859,58361,108.6678
DATA,59.1360,49.3046,58385,108.4406
DATA,60.5865,49.0176,58410,109.6041
DATA,59.1983,48.8751,58435,108.0733
DATA,57.9747,43.0734,58471,101.0480
DATA,56.7604,38.8056,58496,95.5661
DATA,54.4058,34.9594,58521,89.3652
DATA,48.8475,30.9174,58545,79.7650
DATA,38.5125,23.4373,58570,61.9498
DATA,30.5792,15.5032,58594,46.0824
DATA,23.6823,4.7589,58619,28.4412
DATA,15.0246,2.6193,58644,17.6438
DATA,7.1233,1.5124,58668,8.6357
DATA,6.7186,1.5259,58693,8.2445
DATA,6.7294,1.6675,58717,8.3969
DATA,6.7043,1.7954,58742,8.4997
DATA,6.7043,2.1738,58767,8.8782
DATA,6.9099,2.1198,58791,9.0297
DATA,6.9356,2.0816,58828,9.0172
DATA,6.9558,1.9261,58853,8.8819
DATA,6.7774,1.7549,58877,8.5323
DATA,6.7158,1.7626,58902,8.4784
DATA,6.6312,1.8489,58926,8.4801
DATA,6.6278,1.8580,58951,8.4858
DATA,6.6128,2.0329,58976,8.6457
DATA,6.5093,1.9243,59000,8.4335
DATA,6.1451,1.9134,59025,8.0585
DATA,5.7375,1.9274,59049,7.6649
DATA,5.3642,2.1267,59074,7.4909
DATA,4.7568,1.9896,59099,6.7463
DATA,4.1745,1.9739,59123,6.1484
DATA,3.7591,2.0015,59148,5.7605
DATA,3.4132,1.9234,59185,5.3366
DATA,3.4044,1.8302,59209,5.2346
DATA,3.7513,1.8216,59234,5.5729
DATA,11.8067,1.6020,59258,13.4087
DATA,21.4415,1.7796,59283,23.2211
DATA,23.9746,1.7856,59308,25.7602
DATA,24.2538,1.8047,59332,26.0586
DATA,25.9518,2.7764,59357,28.7282
DATA,30.8619,7.6473,59381,38.5092
DATA,36.3513,11.7988,59406,48.1501
DATA,39.2248,15.4933,59431,54.7181
DATA,40.9264,18.9192,59455,59.8456
DATA,44.1836,23.5329,59480,67.7165
DATA,46.5824,27.1848,59517,73.7672
DATA,47.9360,33.1783,59541,81.1143
DATA,47.5836,42.8298,59566,90.4134
DATA,45.8690,48.4269,59590,94.2959
DATA,47.9816,49.0193,59615,97.0009
DATA,50.9183,51.9435,59640,102.8618
DATA,51.6827,57.7643,59664,109.4470
DATA,51.4615,61.5244,59689,112.9860
DATA,52.5994,62.7075,59713,115.3069
DATA,53.5282,70.3143,59738,123.8425
DATA,55.3631,76.5756,59763,131.9387
DATA,57.6659,77.6519,59787,135.3178
DATA,58.8929,79.5576,59812,138.4506
DATA,58.1985,84.9623,59836,143.1608
DATA,61.2492,90.3490,59873,151.5982
DATA,67.5799,86.4916,59898,154.0715
DATA,70.9615,85.3467,59922,156.3082
DATA,67.8556,86.6911,59947,154.5467
DATA,62.4197,80.1030,59972,142.5227
DATA,58.8911,67.0004,59996,125.8915
DATA,50.8512,52.2596,60021,103.1108
DATA,36.1008,36.2164,60045,72.3172
DATA,18.8866,21.0929,60070,39.9795
DATA,8.9024,7.1226,60094,16.0250
DATA,7.0948,2.3904,60119,9.4852
DATA,7.0600,1.3513,60144,8.4113
DATA,6.7957,1.8179,60168,8.6136
DATA,6.9916,1.8858,60193,8.8775
DATA,7.0969,1.9585,60230,9.0553
DATA,6.9970,1.7654,60254,8.7623
DATA,7.0964,1.6493,60279,8.7456
DATA,7.2350,1.8048,60303,9.0398
DATA,7.1506,1.8877,60328,9.0383
DATA,7.0090,1.7229,60353,8.7319
DATA,7.0208,1.5983,60377,8.6191
DATA,10.2982,11.1301,60402,21.4283
DATA,18.9157,13.9943,60426,32.9100
DATA,26.4337,16.3439,60451,42.7776
DATA,30.9632,23.6463,60476,54.6095
DATA,37.9320,38.9875,60500,76.9195
DATA,47.5690,49.1414,60525,96.7103
DATA,57.1689,55.2651,60562,112.4340
DATA,60.8354,61.0375,60586,121.8728
DATA,59.8017,67.2486,60611,127.0504
DATA,61.5162,69.9105,60635,131.4267
DATA,63.5307,66.9614,60660,130.4921
DATA,63.3157,65.4270,60685,128.7427
DATA,61.7053,62.3746,60709,124.0800
DATA,58.5876,53.2075,60734,111.7951
DATA,51.8042,38.5343,60758,90.3385
DATA,37.5398,21.8428,60783,59.3826
DATA,17.0285,7.7895,60808,24.8180
DATA,6.2624,0.4149,60832,6.6773
DATA,5.6372,0.1041,60857,5.7413
DATA,6.3344,0.7899,60881,7.1243
DATA,6.7548,1.3069,60918,8.0617
DATA,6.6866,0.4569,60943,7.1436
DATA,5.9905,0.1959,60967,6.1864
DATA,6.0498,0.7947,60992,6.8445
DATA,6.5480,1.4659,61017,8.0139
DATA,6.6308,1.3257,61041,7.9565
DATA,6.2843,1.1165,61066,7.4008
DATA,6.2110,1.0698,61090,7.2808
DATA,6.0555,1.0491,61115,7.1046
DATA,5.9638,1.1857,61140,7.1495
DATA,5.9484,1.3877,61164,7.3361
DATA,6.4292,1.5639,61189,7.9932
DATA,6.5467,1.6296,61213,8.1763
DATA,6.3100,0.9912,61238,7.3012
DATA,5.8108,0.7929,61275,6.6037
DATA,5.5924,0.8159,61299,6.4083
DATA,5.4524,0.2314,61324,5.6837
DATA,5.1774,-0.1842,61349,4.9931
DATA,5.4448,-0.0630,61373,5.3818
DATA,5.6493,0.0633,61398,5.7126
DATA,5.2029,-0.4522,61422,4.7508
DATA,4.6307,-0.9798,61447,3.6508
DATA,4.4228,-1.2273,61472,3.1955
DATA,4.6284,-0.9741,61496,3.6543
DATA,4.7674,-0.4105,61521,4.3569
DATA,5.2137,0.0149,61545,5.2286
DATA,5.2806,0.3047,61570,5.5852
DATA,5.3208,0.1764,61595,5.4972
DATA,5.2259,-0.0421,61631,5.1838
DATA,5.0495,-0.0444,61656,5.0051
DATA,4.9670,0.0193,61681,4.9862
DATA,5.0434,0.0949,61705,5.1383
DATA,5.0017,-0.0935,61730,4.9082
DATA,5.1118,-0.2466,61754,4.8652
DATA,5.0747,-0.0144,61779,5.0603
DATA,5.1236,-0.0611,61804,5.0625
DATA,5.1353,0.0130,61828,5.1483
DATA,5.3037,0.2797,61853,5.5834
DATA,5.3321,0.2818,61877,5.6139
DATA,5.1132,-0.0078,61902,5.1054
DATA,5.2102,-0.0927,61927,5.1175
DATA,2.1188,0.2373,61963,2.3560
DATA,2.4466,0.0733,61988,2.5200
DATA,2.6357,0.1711,62013,2.8068
DATA,2.5216,0.0492,62037,2.5708
DATA,3.2013,-0.0032,62062,3.1981
DATA,1.6390,-0.1356,62086,1.5034
DATA,2.2388,0.0012,62111,2.2400
DATA,2.2074,-0.0105,62136,2.1970
DATA,2.2997,-0.0395,62160,2.2602
DATA,2.2372,0.1021,62185,2.3393
DATA,2.2761,-0.0076,62209,2.2685
DATA,2.2923,-0.0317,62234,2.2606
DATA,2.1925,-0.0243,62259,2.1682
DATA,2.2133,0.1148,62283,2.3282
DATA,2.3038,0.0571,62320,2.3608
DATA,2.3098,0.0948,62345,2.4046
DATA,2.2930,0.0651,62369,2.3581
DATA,2.3318,0.0228,62394,2.3547
DATA,2.1993,-0.0455,62418,2.1538
DATA,2.3503,0.0755,62443,2.4258
DATA,2.3714,0.0790,62468,2.4504
DATA,2.3068,0.1029,62492,2.4097
DATA,2.4686,-0.0234,62517,2.4452
DATA,2.2546,0.0142,62541,2.2688
DATA,2.2979,0.1729,62566,2.4707
DATA,2.2238,-0.0283,62591,2.1955
DATA,2.4048,-0.0258,62615,2.3790
DATA,2.3991,0.1271,62640,2.5262
DATA,2.3434,0.0662,62677,2.4097
DATA,2.3627,-0.0495,62701,2.3132
DATA,2.4208,-0.0584,62726,2.3624
DATA,2.4468,-0.0149,62750,2.4319
DATA,2.3077,-0.0188,62775,2.2889
DATA,2.3244,0.0353,62800,2.3597
DATA,2.4501,0.0122,62824,2.4623
DATA,2.3812,0.1143,62849,2.4955
DATA,2.4358,0.1748,62873,2.6106
DATA,2.3436,0.0882,62898,2.4318
DATA,2.3527,0.0241,62923,2.3768
DATA,2.4393,0.0744,62947,2.5137
DATA,2.4506,0.0471,62972,2.4976
DATA,2.3576,0.0003,63009,2.3579
DATA,2.3466,-0.0215,63033,2.3251
DATA,2.3394,-0.0451,63058,2.2944
DATA,2.4297,0.0303,63082,2.4599
DATA,2.3543,-0.0121,63107,2.3422
DATA,2.3936,0.0318,63132,2.4253
DATA,2.3942,-0.0429,63156,2.3513
DATA,2.4075,0.0794,63181,2.4869
DATA,2.3731,-0.0326,63205,2.3405
DATA,2.4347,0.1006,63230,2.5353
DATA,2.4232,-0.0188,63255,2.4043
DATA,2.4436,0.0068,63279,2.4503
DATA,2.4266,-0.0182,63304,2.4084
DATA,2.4736,0.1367,63328,2.6103
DATA,2.4702,0.1412,63365,2.6114
DATA,2.4617,-0.0155,63390,2.4463
DATA,2.4348,0.0383,63414,2.4731
DATA,2.4256,-0.0199,63439,2.4056
DATA,2.3873,0.0529,63464,2.4402
DATA,2.4271,0.0403,63488,2.4674
DATA,2.4791,-0.0767,63513,2.4024
DATA,2.4057,0.0820,63537,2.4877
DATA,2.3907,0.0260,63562,2.4167
DATA,2.4637,-0.0341,63587,2.4296
DATA,2.4633,0.0611,63611,2.5244
DATA,2.4197,0.0387,63636,2.4584
